sample	NI_9	NI_92	NI_91	NI_90	NI_8	NI_89	NI_88	NI_87	NI_86	NI_85	NI_84	NI_83	NI_82	NI_81	NI_80	NI_7	NI_79	NI_78	NI_77	NI_76	NI_75	NI_74	NI_73	NI_72	NI_71	NI_70	NI_6	NI_69	NI_68	NI_67	NI_66	NI_65	NI_64	NI_63	NI_62	NI_61	NI_60	NI_5	NI_59	NI_58	NI_57	NI_56	NI_55	NI_54	NI_53	NI_52	NI_51	NI_50	NI_4	NI_49	NI_48	NI_47	NI_46	NI_45	NI_44	NI_43	NI_42	NI_41	NI_40	NI_3	NI_39	NI_38	NI_37	NI_36	NI_35	NI_34	NI_33	NI_32	NI_31	NI_30	NI_2	NI_29	NI_28	NI_27	NI_26	NI_25	NI_24	NI_23	NI_22	NI_21	NI_20	NI_1	NI_19	NI_18	NI_17	NI_16	NI_15	NI_14	NI_13	NI_12	NI_11	NI_10
Methanobrevibacter_smithii|t__SGB714_group	0.0	0.0479	0.0	0.09721	0.0	0.0	0.0	0.0	0.0	0.0	0.12235	0.10247	0.15966	0.0	0.0	0.0	0.10069	0.21677	0.0	0.0	0.0	0.14522000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036289999999999996	0.0	0.0	0.0	0.27391	0.0	0.23310999999999998	0.0	0.0	0.00426	0.0	0.0	0.03921	0.0	0.0	0.0	0.0	0.62358	0.0	0.0	0.0	0.0	0.0039700000000000004	0.0	0.0	0.0	0.29857	0.0	0.0	0.0	0.9532200000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14057999999999998	0.0	0.0	0.0	0.0	0.0	0.13558
Bifidobacterium_adolescentis|t__SGB17244	2.9197900000000003	3.77276	0.39084	2.94923	0.0	0.65474	9.589080000000001	7.2260100000000005	5.8014	0.0	2.09163	0.87766	13.235289999999999	0.0	3.7391900000000002	1.5501200000000002	2.4767	3.3885	1.7430599999999998	2.66835	2.14666	0.9331799999999999	1.56723	1.51928	1.86447	4.5774099999999995	0.57043	0.0	0.0	3.10256	0.87776	0.13409000000000001	1.49911	1.9369599999999998	3.22303	0.30942	0.0	0.0	1.7352299999999998	0.27921	0.14611	1.0070700000000001	0.6609999999999999	0.0	1.79679	2.21722	0.0	1.18818	0.09329	0.0	1.16087	0.0	2.92679	0.0	0.0	0.0	3.04285	0.41005	1.2259799999999998	0.0	0.07194	1.49275	7.812410000000001	0.0	0.06601	0.68303	0.0	0.0	1.4764	0.51222	0.05725	3.03041	2.98539	0.15827	1.54121	0.72541	1.11215	0.419	0.0	0.0	2.2151400000000003	0.0	5.69552	1.73649	0.0	1.85617	0.8945700000000001	0.0	0.0	0.0	1.4423	1.65845
Bifidobacterium_bifidum|t__SGB17256	0.0	0.0	0.0	0.0	0.0	0.0	0.60674	0.0	0.06354	0.0	0.0	0.0	0.0	0.58839	0.13258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04209	0.9926	0.0	0.0	0.0	0.0	0.13875	0.63747	0.0	0.19369	0.06786	0.0	0.0	0.73848	0.0	0.19777999999999998	0.52165	0.0	0.0	0.0	2.36263	0.0	0.00011	0.0	0.0	0.25447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25777	0.2437	0.0	0.0	0.0	0.0	0.0	0.0	0.01609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.20389	0.0	0.12330999999999999	0.0	0.74395	1.02264	0.0	0.0	0.85126	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_catenulatum|t__SGB17241	0.05313	0.0	0.0	0.56648	0.0	0.0	0.01986	0.0	0.17407999999999998	0.0	0.02416	0.0	0.0	0.0	0.0	0.0	0.47928000000000004	0.83075	0.10085	0.0	0.0	0.0	0.0	0.23856	0.0	0.0	0.0	0.0	0.44288999999999995	0.33104	0.0	0.07687000000000001	0.03614	0.5302	0.02985	0.0	0.27164	0.0	0.024730000000000002	0.0	0.02449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_longum|t__SGB17248	0.36385	0.05439	0.152	0.49451999999999996	0.0	2.1299099999999997	0.30845	1.5617299999999998	2.62465	0.35633000000000004	1.09364	0.38137	0.79474	1.05603	0.9052899999999999	0.0	0.38408000000000003	0.52488	0.30143000000000003	0.77352	1.89369	0.19391	0.17687	1.0559100000000001	0.06911	2.49599	0.25359	0.95799	0.49636	2.14255	0.00824	1.18384	0.29345	0.4445	0.78194	0.26946	0.40337	0.11797	0.47518999999999995	0.00808	1.31366	0.67828	0.040080000000000005	0.0	1.87158	2.471	0.0	0.03394	0.9434600000000001	0.0	1.7648400000000002	0.0	0.28546	0.0	2.22903	0.0	1.75975	0.06239	0.5404100000000001	0.057920000000000006	0.19905	3.0760099999999997	1.16962	0.2833	0.25748000000000004	0.22016999999999998	0.0	0.19655999999999998	0.01962	0.32361	0.27728	0.28501	1.20338	0.47775	0.14077	0.053239999999999996	0.09886	0.12786	0.0	0.0	1.20506	1.34368	11.41033	0.29269	0.26882	0.81872	1.83844	0.0486	3.40458	1.57171	0.11029000000000001	0.41334
Bifidobacterium_pseudocatenulatum|t__SGB17237	0.24655	0.0	0.6795800000000001	0.0049299999999999995	0.2484	0.0	0.0	6.13293	1.63945	0.0	0.015369999999999998	0.11073	0.0	0.0	0.76748	0.89433	0.11893	0.17945999999999998	0.0173	0.30123	0.04862	0.0	0.018690000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.43456999999999996	0.0	0.0	0.007859999999999999	0.0	0.13113	0.0	0.00352	0.9495	0.47212	0.02337	0.35241999999999996	0.0	0.0	0.0	0.0	0.15903	0.0	0.0	0.0	0.0	0.4943	0.0	0.25577	0.0	9.95973	0.0	0.0	0.0	0.00988	0.0	0.27292	0.0	0.0	0.0	0.0	0.28318000000000004	0.0	0.0	0.0	0.70503	0.0	0.0	0.0	0.0	0.61975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06833	0.0	0.25092	0.04344	0.14372000000000001	0.00441	0.0	1.07101	0.0	0.0
GGB51960_SGB72480|t__SGB72480	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08796	0.02341	0.037000000000000005	0.0	0.0	0.0	0.02239	0.00481	0.0	0.0	0.023969999999999998	0.00856	0.0	0.01737	0.00966	0.0	0.0	0.0	0.0	0.0	0.0	0.018969999999999997	0.00042	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.00606	0.0	0.0086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02495	0.01325	0.01625	0.013519999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olsenella_sp_GAM18|t__SGB14370_group	0.0	0.0	0.0	0.22971	0.008579999999999999	0.0	0.01902	0.0	0.0	0.06145	0.06777999999999999	0.02171	0.03645	0.0	0.0	0.0	0.0	0.0	0.00018999999999999998	0.0	0.0	0.00943	0.00133	0.0	0.0	0.17425	0.0	0.0	0.0	0.0	0.0	0.0	0.03467	0.013590000000000001	0.0246	0.0	0.0	0.0	0.0	0.07175	0.0	0.0	0.05785	0.0	0.0	0.09406	0.0	0.12092	0.0	0.0	0.0	0.0	0.01176	0.0	0.0	0.0	0.0	0.00988	0.0	0.0	0.0	0.0	0.06139	0.0	0.0	0.0	0.0	0.0	0.13125	0.02252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsella_aerofaciens|t__SGB14546_group	0.19782	0.0	0.21354	3.8635900000000003	0.006659999999999999	0.08175	0.7245	1.63701	0.71217	0.0	1.70935	1.8560900000000002	1.48413	0.0	0.0	0.0	2.26188	2.5245	0.60242	1.69668	0.9847299999999999	1.7125	2.12685	1.5723200000000002	1.8888099999999999	2.36662	0.90951	0.0	0.6114	1.38667	0.632	0.14300000000000002	2.96504	4.055280000000001	1.01614	1.00569	0.45648	0.5336	1.81611	0.31406	1.28597	0.0	0.92589	0.0	0.40407	1.6535	0.0	0.95688	1.71122	0.0	0.5285	0.07605	1.15666	0.0	0.0	0.0	0.15028	1.00017	0.0	0.0	0.41657	2.39112	0.7007	0.0	0.0	0.24891	0.0	0.51978	0.14479	0.38199	0.5373100000000001	0.84816	0.10902	0.0	0.79108	0.14542	0.30136999999999997	0.99744	0.14332999999999999	0.13382	0.49595	1.50889	0.84804	0.12905	0.2056	0.72516	0.8844799999999999	0.0	0.68665	0.0	1.15161	0.0
Collinsella_bouchesdurhonensis|t__SGB14397	0.0	0.0	0.0	0.08598	0.0	0.0	0.03392	0.0	0.0	0.0	0.5725	0.026989999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03482	0.0	0.06754	0.16725	0.0	0.21245999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12115999999999999	0.0	0.0	0.0	0.04958	0.0	0.0	0.0	0.0	0.12204000000000001	0.0	0.0	0.0	0.0	0.11495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
