sample	NI_9	NI_92	NI_91	NI_90	NI_8	NI_89	NI_88	NI_87	NI_86	NI_85	NI_84	NI_83	NI_82	NI_81	NI_80	NI_7	NI_79	NI_78	NI_77	NI_76	NI_75	NI_74	NI_73	NI_72	NI_71	NI_70	NI_6	NI_69	NI_68	NI_67	NI_66	NI_65	NI_64	NI_63	NI_62	NI_61	NI_60	NI_5	NI_59	NI_58	NI_57	NI_56	NI_55	NI_54	NI_53	NI_52	NI_51	NI_50	NI_4	NI_49	NI_48	NI_47	NI_46	NI_45	NI_44	NI_43	NI_42	NI_41	NI_40	NI_3	NI_39	NI_38	NI_37	NI_36	NI_35	NI_34	NI_33	NI_32	NI_31	NI_30	NI_2	NI_29	NI_28	NI_27	NI_26	NI_25	NI_24	NI_23	NI_22	NI_21	NI_20	NI_1	NI_19	NI_18	NI_17	NI_16	NI_15	NI_14	NI_13	NI_12	NI_11	NI_10
Candidatus_Methanomethylophilus_alvus|t__SGB385	0	0.01925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus_Methanomassiliicoccus_intestinalis|t__SGB363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanomassiliicoccales_archaeon|t__SGB45968	0	0.00108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB1567_SGB2154|t__SGB2154	0	0	0	0	0	0	0.36855	0	0	0	0.01653	0.11423	0.11883	0	0	0	0	0.00016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66883	0	0	0	0	0	0	0	0	0	0	0.11435	0	0	0	0	0	0	0	0	0	1.00854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobrevibacter_oralis|t__SGB720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0079	0	0	0	0	0	0	0	0	0	0	0
Methanobrevibacter_smithii|t__SGB714_group	0	0.0479	0	0.09721	0	0	0	0	0	0	0.12235	0.10247	0.15966	0	0	0	0.10069	0.21677	0	0	0	0.14522	0	0	0	0	0	0	0	0	0.03629	0	0	0	0.27391	0	0.23311	0	0	0.00426	0	0	0.03921	0	0	0	0	0.62358	0	0	0	0	0.00397	0	0	0	0.29857	0	0	0	0.95322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15963	0	0	0	0	0	0	0	0	0.14058	0	0	0	0	0	0.13558
Methanosphaera_stadtmanae|t__SGB698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00443	0.0251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_SGB17154|t__SGB17154	0	0	0	0	0	0	0	0	0.00565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00129	0	0	0	0	0	0	0	0	0	0.01525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00819	0	0	0	0	0	0.00268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0108	0	0	0
Actinomyces_SGB17168|t__SGB17168	0	0	0	0	0	0.00044	0	0	0	0.00091	0.01114	0	0.00143	0	0	0	0	0	0	0.00317	0	0	0.01074	0.00011	0	0	0.0155	0	0	0	0	0	0	0	0	0.00675	0	0	0	0	0	0	0	0	0	0	0	0	0.00409	0	0	0	0	0	0.00132	0	0	0	0.00272	0.00025	0	0	0	0	0	0	0	0	0.00759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01228	0	0	0.00048
Actinomyces_bouchesdurhonensis|t__SGB17152	0	0	0	0	0	0.01149	0	0	0	0	0	0	0	0	0	0	0.01475	0.02933	0	0	0.00711	0.00219	0.06118	0	0.00337	0	0.00615	0	0	0	0	0	0	0	0.00361	0.0038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9e-05	0	0	0	0	0	0	0	0	0.00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00472
Actinomyces_dentalis|t__SGB15877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_graevenitzii|t__SGB17130	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00263	0	0	0	0	0.00063	0	0	0	0.00107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00775	0	0.00105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
